FOOD_ID,DATE,MEAL,FOODS,Food_Item,Quantity,Calories,Protein (g),Carbs (g),Fat (g),Cholest (mg),Sodium (mg),Sugar (g),Fiber (g)
1,3/1/2025,Meal 1,"Kfc Fried Chicken Wing - Kfc Fried Chicken Wing, 1 piece",Fried Chicken Wing, 1 piece,130 ,10 ,3 ,8 ,55 ,380 ,--,0 
2,3/1/2025,Meal 1,"Viga - Meatlovers Pizza, 1 Slice",Meatlovers Pizza, 1 Slice,421 ,10 ,36 ,16 ,45 ,"1,040 ",--,1 
3,3/1/2025,Meal 1,"Market Basket - Fat Free Cottage Cheese, 200 gram(s)",Fat Free Cottage Cheese, 200 gram(s),142 ,25 ,11 ,0 ,18 ,726 ,9 ,0 
4,3/1/2025,Meal 1,"Market Basket - Eggs, 2 egg",Eggs, 2 egg,140 ,12 ,2 ,9 ,430 ,130 ,0 ,0 
5,3/1/2025,Meal 2,"Potato Wedges - Potato Wedges, 200 gr",Potato Wedges, 200 gr,280 ,4 ,40 ,10 ,0 ,100 ,0 ,4 
6,3/1/2025,Meal 2,"White Jasmine Rice (Cooked - White Rice (Cooked), 1 cup (158g)",White Rice (Cooked), 1 cup (158g),205 ,4 ,45 ,0 ,0 ,2 ,0 ,1 
7,3/1/2025,Meal 2,"Market Basket - Eggs, 2 egg",Eggs, 2 egg,140 ,12 ,2 ,9 ,430 ,130 ,0 ,0 
8,3/1/2025,Meal 2,"Bean Soup - Bean Soup - Mixed Beans, 3 cup cooked",Bean Soup, 3 cup cooked,387 ,38 ,65 ,5 ,15 ,300 ,19 ,19 
9,3/1/2025,Meal 3,"Viga - Meatlovers Pizza, 1 Slice",Meatlovers Pizza, 1 Slice,421 ,10 ,36 ,16 ,45 ,"1,040 ",--,1 
10,3/1/2025,Snacks,"Tostitos - Tostitos Nachos, 30 g",Tostitos Nachos, 30 g,144 ,2 ,19 ,7 ,0 ,76 ,0 ,2 
11,3/1/2025,Total,TOTALS,,,"2,410 ",127 ,259 ,80 ,"1,038 ","3,924 ",28 ,28 
12,3/2/2025,Meal 1,"Dunkin' - Sourdough Breakfast Sandwich, 1 Sandwich",Sourdough Breakfast Sandwich, 1 Sandwich,650 ,31 ,58 ,32 ,365 ,"1,360 ",2 ,3 
13,3/2/2025,Meal 2,"Brussel sprouts, 2 cup",Brussel sprouts, 2 cup,77 ,6 ,16 ,1 ,0 ,45 ,4 ,7 
14,3/2/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
15,3/2/2025,Meal 3,"Carrots, 1 cup",Carrots, 1 cup,49 ,1 ,11 ,0 ,0 ,83 ,6 ,3 
16,3/2/2025,Meal 3,"Tomato, 2 medium",Tomato, 2 medium,44 ,2 ,10 ,0 ,0 ,12 ,6 ,3 
17,3/2/2025,Meal 3,"Lettuce, 2 cup, shredded",Lettuce, 2 cup,10 ,1 ,2 ,0 ,0 ,13 ,1 ,1 
18,3/2/2025,Meal 3,"Market Basket - Solid White Albacore, Tuna in Water, 2 can drained","Solid White Albacore, Tuna in Water", 2 can drained,260 ,60 ,0 ,2 ,90 ,700 ,--,--
19,3/2/2025,Snacks,"Corn Bread Famous Dave's - Corn Bread, 1.25 oz (35g)",Corn Bread, 1.25 oz (35g),150 ,1 ,27 ,4 ,0 ,190 ,14 ,1 
20,3/2/2025,Snacks,"French fries, 2 cup",French fries, 2 cup,235 ,2 ,22 ,16 ,0 ,169 ,2 ,2 
21,3/2/2025,Snacks,"Generic - Large Bagel With Cream Cheese, 1 Bagel",Large Bagel With Cream Cheese, 1 Bagel,436 ,14 ,66 ,8 ,27 ,634 ,5 ,4 
22,3/2/2025,Total,TOTALS,,,"2,314 ",173 ,223 ,83 ,789 ,"3,403 ",40 ,24 
23,3/3/2025,Meal 1,"Quaker - Chewy Chocolate Chip, 1 bar",Chewy Chocolate Chip, 1 bar,100 ,1 ,17 ,4 ,0 ,70 ,7 ,1 
24,3/3/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
25,3/3/2025,Meal 1,"Banana, 1 medium",Banana, 1 medium,105 ,1 ,27 ,0 ,0 ,1 ,14 ,3 
26,3/3/2025,Meal 2,"Market Basket - Almonds - Roasted, No Salt, 2 ounce",Almonds - Roasted, 2 ounce,340 ,11 ,11 ,32 ,--,--,4 ,6 
27,3/3/2025,Meal 2,"White Jasmine Rice (Cooked - White Rice (Cooked), 1 cup (158g)",White Rice (Cooked), 1 cup (158g),205 ,4 ,45 ,0 ,0 ,2 ,0 ,1 
28,3/3/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
29,3/3/2025,Meal 3,"Homemade corn tortillas - Tortilla, 4 Tortilla",Homemade corn tortillas, 4 Tortilla,400 ,8 ,68 ,10 ,0 ,880 ,0 ,0 
30,3/3/2025,Meal 3,"Coca Cola - Coca-Cola, 1 can",Coca Cola, 1 can,160 ,0 ,42 ,0 ,--,40 ,42 ,--
31,3/3/2025,Meal 3,"Market Basket - Solid White Albacore, Tuna in Water, 2 can drained","Solid White Albacore, Tuna in Water", 2 can drained,260 ,60 ,0 ,2 ,90 ,700 ,--,--
32,3/3/2025,Total,TOTALS,,,"2,215 ",149 ,231 ,88 ,397 ,"2,068 ",71 ,14 
33,3/4/2025,Meal 1,"Banana, 2 medium",Banana, 2 medium,210 ,3 ,54 ,1 ,0 ,2 ,29 ,6 
34,3/4/2025,Meal 1,"Guarana Antarctica - Guarana Soda, 1 can",Guarana Antarctica, 1 can,145 ,0 ,36 ,0 ,--,20 ,36 ,--
35,3/4/2025,Meal 1,"Jif - Peanut Butter, Creamy, 63 g",Peanut Butter, 63 g,363 ,13 ,15 ,31 ,0 ,267 ,6 ,4 
36,3/4/2025,Meal 2,"Chipotle Guacamole - Guacamole* RG, 4 oz",Chipotle Guacamole, 4 oz,230 ,2 ,8 ,22 ,0 ,370 ,1 ,6 
37,3/4/2025,Meal 2,"Black beans, canned, 1 cup","Black beans, canned", 1 cup,218 ,14 ,40 ,1 ,0 ,922 ,1 ,17 
38,3/4/2025,Meal 2,"White Jasmine Rice (Cooked - White Rice (Cooked), 1 cup (158g)",White Rice (Cooked), 1 cup (158g),205 ,4 ,45 ,0 ,0 ,2 ,0 ,1 
39,3/4/2025,Meal 2,"Grilled Beef - Grilled Beef, 5 ounce",Grilled Beef, 5 ounce,354 ,37 ,--,21 ,--,--,--,--
40,3/4/2025,Meal 3,"Ginger Ale - Ginger Ale, 12 fluid ounce",Ginger Ale, 12 fluid ounce,140 ,0 ,37 ,0 ,0 ,50 ,37 ,0 
41,3/4/2025,Meal 3,"Carrots, 1 cup",Carrots, 1 cup,49 ,1 ,11 ,0 ,0 ,83 ,6 ,3 
42,3/4/2025,Meal 3,"Wellsley Farms - Mini Cucumbers, 3 mini cucumber",Wellsley Farms - Mini Cucumbers, 3 mini cucumber,30 ,0 ,6 ,0 ,0 ,0 ,2 ,0 
43,3/4/2025,Meal 3,"Tomato, 2 medium",Tomato, 2 medium,44 ,2 ,10 ,0 ,0 ,12 ,6 ,3 
44,3/4/2025,Meal 3,"Chipotle Pico de Gallo - Chipotle Pico de Gallo 2024, 4 ounce",Chipotle Pico de Gallo, 4 ounce,25 ,0 ,4 ,0 ,--,--,--,--
45,3/4/2025,Meal 3,"Market Basket - Solid White Albacore, Tuna in Water, 2 can drained","Solid White Albacore, Tuna in Water", 2 can drained,260 ,60 ,0 ,2 ,90 ,700 ,--,--
46,3/4/2025,Total,TOTALS,,,"2,273 ",136 ,266 ,78 ,90 ,"2,428 ",124 ,40 
47,3/5/2025,Meal 2,"Goya - Red Kidney Beans, 1 cup",Red Kidney Beans, 1 cup,560 ,36 ,104 ,0 ,0 ,20 ,4 ,24 
48,3/5/2025,Meal 2,"White Jasmine Rice (Cooked - White Rice (Cooked), 1 cup (158g)",White Rice (Cooked), 1 cup (158g),205 ,4 ,45 ,0 ,0 ,2 ,0 ,1 
49,3/5/2025,Meal 2,"Chipotle Pico de Gallo - Chipotle Pico de Gallo 2024, 4 ounce",Chipotle Pico de Gallo, 4 ounce,25 ,0 ,4 ,0 ,--,--,--,--
50,3/5/2025,Meal 2,"Tomato, 2 medium",Tomato, 2 medium,44 ,2 ,10 ,0 ,0 ,12 ,6 ,3 
51,3/5/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
52,3/5/2025,Meal 3,"Cherry tomatoes, 1 cup",Cherry tomatoes, 1 cup,13 ,1 ,3 ,0 ,0 ,4 ,2 ,1 
53,3/5/2025,Meal 3,"Market Basket - Almonds - Roasted, No Salt, 2 ounce",Almonds - Roasted, 2 ounce,340 ,11 ,11 ,32 ,--,--,4 ,6 
54,3/5/2025,Meal 3,"Spinach, raw, fresh, 2 cup",Spinach, 2 cup,14 ,2 ,2 ,0 ,0 ,47 ,0 ,1 
55,3/5/2025,Meal 3,"Carrots - Baby, 6 ounce",Carrots - Baby, 6 ounce,70 ,2 ,16 ,0 ,16 ,130 ,10 ,4 
56,3/5/2025,Meal 3,"Market Basket - Solid White Albacore, Tuna in Water, 2 can drained","Solid White Albacore, Tuna in Water", 2 can drained,260 ,60 ,0 ,2 ,90 ,700 ,--,--
57,3/5/2025,Snacks,"Market Basket - Almonds - Roasted, No Salt, 2 ounce",Almonds - Roasted, 2 ounce,340 ,11 ,11 ,32 ,--,--,4 ,6 
58,3/5/2025,Snacks,"Almond Breeze - Almond Breeze, Almond Milk, Vanilla, 2 cup","Almond Milk, Vanilla", 2 cup,160 ,2 ,28 ,5 ,0 ,300 ,26 ,1 
59,3/5/2025,Snacks,"Blueberries, 1 cup",Blueberries, 1 cup,42 ,1 ,11 ,0 ,0 ,1 ,7 ,2 
60,3/5/2025,Total,TOTALS,,,"2,476 ",187 ,256 ,91 ,413 ,"1,413 ",63 ,49 
61,3/6/2025,Meal 1,"Jif - Peanut Butter, Creamy, 84 g",Peanut Butter, 84 g,484 ,18 ,20 ,41 ,0 ,356 ,8 ,5 
62,3/6/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
63,3/6/2025,Meal 2,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
64,3/6/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
65,3/6/2025,Meal 3,"Chicken Thighs - 2 Thighs, 4 oz",Chicken Thighs, 4 oz,201 ,27 ,5 ,10 ,153 ,99 ,0 ,0 
66,3/6/2025,Meal 3,"Potatoes, boiled, 2 medium",Potatoes, 2 medium,287 ,6 ,67 ,0 ,0 ,17 ,3 ,6 
67,3/6/2025,Meal 3,"Pork tenderloin, cooked, 4 oz",Pork tenderloin, 4 oz,166 ,29 ,0 ,4 ,82 ,64 ,0 ,0 
68,3/6/2025,Meal 3,"Cherry tomatoes, 1 cup",Cherry tomatoes, 1 cup,13 ,1 ,3 ,0 ,0 ,4 ,2 ,1 
69,3/6/2025,Meal 3,"Carrots - Baby, 6 ounce",Carrots - Baby, 6 ounce,70 ,2 ,16 ,0 ,16 ,130 ,10 ,4 
70,3/6/2025,Snacks,"Blueberries, 1 cup",Blueberries, 1 cup,42 ,1 ,11 ,0 ,0 ,1 ,7 ,2 
71,3/6/2025,Snacks,"Almond Breeze - Almond Breeze, Almond Milk, Vanilla, 2 cup","Almond Milk, Vanilla", 2 cup,160 ,2 ,28 ,5 ,0 ,300 ,26 ,1 
72,3/6/2025,Total,TOTALS,,,"2,068 ",143 ,223 ,80 ,558 ,"1,170 ",90 ,27 
73,3/7/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
74,3/7/2025,Meal 1,"Jif - Peanut Butter, Creamy, 84 g",Peanut Butter, 84 g,484 ,18 ,20 ,41 ,0 ,356 ,8 ,5 
75,3/7/2025,Meal 2,"Market Basket - Almonds - Roasted, No Salt, 1.5 ounce",Almonds - Roasted, 1.5 ounce,255 ,9 ,9 ,24 ,--,--,3 ,4 
76,3/7/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
77,3/7/2025,Meal 3,"Pan frances - Frances Pan, 2 roll(105g)",Pan frances, 2 roll(105g),560 ,24 ,112 ,3 ,0 ,"1,180 ",8 ,6 
78,3/7/2025,Meal 3,"Key lime margaritas - Key lime margaritas, 6 cup",Key lime margaritas, 6 cup,540 ,0 ,150 ,0 ,0 ,0 ,138 ,0 
79,3/7/2025,Meal 3,"Domino's Large Pepperoni Pizza - Large Pepperoni Pizza, 1 slice",Large Pepperoni Pizza, 1 slice,300 ,12 ,34 ,13 ,30 ,700 ,3 ,2 
80,3/7/2025,Meal 3,"Downeast - Downeast Original Blend Cider, 36 fl oz",Downeast Original Blend Cider, 36 fl oz,546 ,0 ,60 ,0 ,0 ,0 ,51 ,0 
81,3/7/2025,Meal 3,"Grilled Beef - Grilled Beef, 5 ounce",Grilled Beef, 5 ounce,354 ,37 ,--,21 ,--,--,--,--
82,3/7/2025,Meal 3,"Ribs - Ribs Pork, 5 ribs",Ribs - Ribs Pork, 5 ribs,369 ,54 ,4 ,17 ,60 ,330 ,1 ,0 
83,3/7/2025,Total,TOTALS,,,"3,932 ",210 ,431 ,139 ,397 ,"2,764 ",229 ,21 
84,3/8/2025,Meal 1,"Oreos, 3 cookie",Oreos, 3 cookie,153 ,2 ,23 ,6 ,0 ,128 ,13 ,1 
85,3/8/2025,Meal 1,"Post - Honey Bunches of Oats, Crispy with Almonds, 1.5 cup","Honey Bunches of Oats, Crispy with Almonds", 1.5 cup,255 ,5 ,51 ,5 ,0 ,270 ,14 ,3 
86,3/8/2025,Meal 1,"Market Basket - Fat Free Cottage Cheese, 200 gram(s)",Fat Free Cottage Cheese, 200 gram(s),142 ,25 ,11 ,0 ,18 ,726 ,9 ,0 
87,3/8/2025,Meal 1,"Market Basket - Eggs, 4 egg",Eggs, 4 egg,280 ,24 ,4 ,18 ,860 ,260 ,0 ,0 
88,3/8/2025,Meal 1,"Almond Breeze - Almond Breeze, Almond Milk, Vanilla, 2 cup","Almond Milk, Vanilla", 2 cup,160 ,2 ,28 ,5 ,0 ,300 ,26 ,1 
89,3/8/2025,Meal 2,"bobs red mill - pancake, 0.5 cup",pancake, 0.5 cup,280 ,14 ,54 ,2 ,0 ,600 ,4 ,10 
90,3/8/2025,Meal 2,"Grilled Beef - Grilled Beef, 4 ounce",Grilled Beef, 4 ounce,283 ,29 ,--,17 ,--,--,--,--
91,3/8/2025,Meal 2,"Doña Lupe Flour Tortillas - Flour Tortillas, 2 tortilla",Flour Tortillas, 2 tortilla,220 ,0 ,72 ,4 ,0 ,960 ,0 ,2 
92,3/8/2025,Meal 3,"Carrots - Baby, 6 ounce",Carrots - Baby, 6 ounce,70 ,2 ,16 ,0 ,16 ,130 ,10 ,4 
93,3/8/2025,Meal 3,"Market Basket - Solid White Albacore, Tuna in Water, 2 can drained","Solid White Albacore, Tuna in Water", 2 can drained,260 ,60 ,0 ,2 ,90 ,700 ,--,--
94,3/8/2025,Meal 3,"Cherry tomatoes, 1 cup",Cherry tomatoes, 1 cup,13 ,1 ,3 ,0 ,0 ,4 ,2 ,1 
95,3/8/2025,Meal 3,"Spinach, raw, fresh, 2 cup",Spinach, 2 cup,14 ,2 ,2 ,0 ,0 ,47 ,0 ,1 
96,3/8/2025,Snacks,"modelo - beer, 24 fl oz",modelo - beer, 24 fl oz,240 ,0 ,25 ,0 ,--,--,--,--
97,3/8/2025,Total,TOTALS,,,"2,370 ",166 ,289 ,59 ,984 ,"4,125 ",78 ,23 
98,3/9/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
99,3/9/2025,Meal 1,"Blueberries, 1 cup",Blueberries, 1 cup,42 ,1 ,11 ,0 ,0 ,1 ,7 ,2 
100,3/9/2025,Meal 1,"Almond Breeze - Almond Breeze, Almond Milk, Vanilla, 2 cup","Almond Milk, Vanilla", 2 cup,160 ,2 ,28 ,5 ,0 ,300 ,26 ,1 
101,3/9/2025,Meal 1,"Market Basket - Fat Free Cottage Cheese, 200 gram(s)",Fat Free Cottage Cheese, 200 gram(s),142 ,25 ,11 ,0 ,18 ,726 ,9 ,0 
102,3/9/2025,Meal 1,"Market Basket - Eggs, 4 egg",Eggs, 4 egg,280 ,24 ,4 ,18 ,860 ,260 ,0 ,0 
103,3/9/2025,Meal 2,"Publix - Fried Chicken Drums, 3 drumstick (3 oz)",Fried Chicken Drums, 3 drumstick (3 oz),690 ,48 ,33 ,39 ,210 ,"1,560 ",--,--
104,3/9/2025,Meal 2,"White Jasmine Rice (Cooked - White Rice (Cooked), 1 cup (158g)",White Rice (Cooked), 1 cup (158g),205 ,4 ,45 ,0 ,0 ,2 ,0 ,1 
105,3/9/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
106,3/9/2025,Meal 3,"Fried Beans - Fried Beans, 3 oz",Fried Beans, 3 oz,145 ,6 ,19 ,5 ,--,--,--,--
107,3/9/2025,Meal 3,"Market Basket - Eggs, 2 egg",Eggs, 2 egg,140 ,12 ,2 ,9 ,430 ,130 ,0 ,0 
108,3/9/2025,Meal 3,"Avocado - Avocado, 2.5 oz(s)",Avocado, 2.5 oz(s),166 ,2 ,9 ,15 ,0 ,7 ,1 ,7 
109,3/9/2025,Snacks,"Klondike - Klondike Bar, 1 bar",Klondike Bar, 1 bar,250 ,3 ,29 ,14 ,10 ,70 ,23 ,1 
110,3/9/2025,Snacks,"Oreos, 3 cookie",Oreos, 3 cookie,153 ,2 ,23 ,6 ,0 ,128 ,13 ,1 
111,3/9/2025,Total,TOTALS,,,"2,897 ",185 ,256 ,131 ,"1,835 ","3,382 ",96 ,17 
112,3/10/2025,Meal 1,"Market Basket - Almonds - Roasted, No Salt, 2 ounce",Almonds - Roasted, 2 ounce,340 ,11 ,11 ,32 ,--,--,4 ,6 
113,3/10/2025,Meal 1,"Market Basket - Fat Free Cottage Cheese, 200 gram(s)",Fat Free Cottage Cheese, 200 gram(s),142 ,25 ,11 ,0 ,18 ,726 ,9 ,0 
114,3/10/2025,Meal 1,"Market Basket - Eggs, 4 egg",Eggs, 4 egg,280 ,24 ,4 ,18 ,860 ,260 ,0 ,0 
115,3/10/2025,Meal 2,"Market Basket - Almonds - Roasted, No Salt, 2 ounce",Almonds - Roasted, 2 ounce,340 ,11 ,11 ,32 ,--,--,4 ,6 
116,3/10/2025,Meal 2,"Goya - Red Kidney Beans, 1 cup",Red Kidney Beans, 1 cup,560 ,36 ,104 ,0 ,0 ,20 ,4 ,24 
117,3/10/2025,Meal 2,"Chicken Thighs - 2 Thighs, 8 oz",Chicken Thighs, 8 oz,403 ,55 ,11 ,20 ,307 ,197 ,0 ,0 
118,3/10/2025,Meal 3,"Grilled Beef - Grilled Beef, 4.5 ounce",Grilled Beef, 4.5 ounce,319 ,33 ,--,19 ,--,--,--,--
119,3/10/2025,Meal 3,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
120,3/10/2025,Total,TOTALS,,,"2,505 ",196 ,183 ,121 ,"1,185 ","1,204 ",38 ,40 
121,3/11/2025,Meal 1,"Jif - Peanut Butter, Creamy, 42 g",Peanut Butter, 42 g,242 ,9 ,10 ,20 ,0 ,178 ,4 ,3 
122,3/11/2025,Meal 1,"Banana, 1 large",Banana, 1 large,121 ,1 ,31 ,0 ,0 ,1 ,17 ,4 
123,3/11/2025,Meal 2,"Grilled Beef - Grilled Beef, 4.5 ounce",Grilled Beef, 4.5 ounce,319 ,33 ,--,19 ,--,--,--,--
124,3/11/2025,Meal 2,"Market Basket - Almonds - Roasted, No Salt, 2 ounce",Almonds - Roasted, 2 ounce,340 ,11 ,11 ,32 ,--,--,4 ,6 
125,3/11/2025,Meal 2,"Cherry tomatoes, 1 cup",Cherry tomatoes, 1 cup,13 ,1 ,3 ,0 ,0 ,4 ,2 ,1 
126,3/11/2025,Meal 2,"Spinach, raw, fresh, 2 cup",Spinach, 2 cup,14 ,2 ,2 ,0 ,0 ,47 ,0 ,1 
